om,yr,mo,dy,date,time,tz,st,stf,stn,f
1,2007,1,4,2007-01-04,15:45:00,3,LA,22,1,EF-1
2,2007,1,4,2007-01-04,16:35:00,3,LA,22,2,EF-1
3,2007,1,5,2007-01-05,00:27:00,3,MS,28,1,EF-1
4,2007,1,5,2007-01-05,00:40:00,3,MS,28,2,EF-0
5,2007,1,5,2007-01-05,00:57:00,3,MS,28,3,EF-1
6,2007,1,5,2007-01-05,01:07:00,3,MS,28,4,EF-1
7,2007,1,5,2007-01-05,01:25:00,3,MS,28,5,EF-2
8,2007,1,5,2007-01-05,01:40:00,3,MS,28,6,EF-2
9,2007,1,5,2007-01-05,02:05:00,3,MS,28,7,EF-1
10,2007,1,5,2007-01-05,09:05:00,3,GA,13,1,EF-1
11,2007,1,5,2007-01-05,10:00:00,3,GA,13,2,EF-0
12,2007,1,5,2007-01-05,13:24:00,3,SC,45,1,EF-1
13,2007,1,5,2007-01-05,14:11:00,3,SC,45,2,EF-0
14,2007,1,5,2007-01-05,15:39:00,3,NC,37,1,EF-0
15,2007,1,5,2007-01-05,16:10:00,3,GA,13,3,EF-0
16,2007,1,7,2007-01-07,16:10:00,3,AL,1,1,EF-1
17,2007,1,7,2007-01-07,17:39:00,3,GA,13,4,EF-2
18,2007,1,7,2007-01-07,19:50:00,3,AL,1,2,EF-0
19,2007,1,7,2007-01-07,20:29:00,3,AL,1,3,EF-1
20,2007,1,12,2007-01-12,16:35:00,3,TX,48,1,EF-0
21,2007,1,13,2007-01-13,07:08:00,3,TX,48,2,EF-1
22,2007,2,2,2007-02-02,02:10:00,3,FL,12,1,EF-3
23,2007,2,2,2007-02-02,02:37:00,3,FL,12,2,EF-3
24,2007,2,2,2007-02-02,03:22:00,3,FL,12,3,EF-1
25,2007,2,2,2007-02-02,07:00:00,3,FL,12,4,EF-0
26,2007,2,13,2007-02-13,00:10:00,3,LA,22,3,EF-1
27,2007,2,13,2007-02-13,00:36:00,3,LA,22,4,EF-2
28,2007,2,13,2007-02-13,01:03:00,3,LA,22,5,EF-0
29,2007,2,13,2007-02-13,01:25:00,3,LA,22,6,EF-0
30,2007,2,13,2007-02-13,02:55:00,3,LA,22,7,EF-2
31,2007,2,13,2007-02-13,03:10:00,3,LA,22,8,EF-2
32,2007,2,13,2007-02-13,03:52:00,3,MS,28,8,EF-1
33,2007,2,13,2007-02-13,04:13:00,3,MS,28,9,EF-0
34,2007,2,13,2007-02-13,04:45:00,3,MS,28,10,EF-0
35,2007,2,13,2007-02-13,07:20:00,3,MS,28,11,EF-0
36,2007,2,13,2007-02-13,14:05:00,3,FL,12,5,EF-1
37,2007,2,13,2007-02-13,16:47:00,3,SC,45,3,EF-1
38,2007,2,13,2007-02-13,17:01:00,3,AL,1,4,EF-0
39,2007,2,13,2007-02-13,17:10:00,3,AL,1,5,EF-1
40,2007,2,13,2007-02-13,17:28:00,3,GA,13,5,EF-1
41,2007,2,13,2007-02-13,17:48:00,3,AL,1,6,EF-0
42,2007,2,13,2007-02-13,18:01:00,3,SC,45,4,EF-1
43,2007,2,13,2007-02-13,18:22:00,3,AL,1,7,EF-1
44,2007,2,13,2007-02-13,18:27:00,3,SC,45,5,EF-0
45,2007,2,23,2007-02-23,18:10:00,3,TX,48,3,EF-0
46,2007,2,23,2007-02-23,21:56:00,3,KS,20,1,EF-0
47,2007,2,23,2007-02-23,22:11:00,3,KS,20,2,EF-1
48,2007,2,24,2007-02-24,10:42:00,3,LA,22,9,EF-1
49,2007,2,24,2007-02-24,13:15:00,3,KS,20,3,EF-0
50,2007,2,24,2007-02-24,13:35:00,3,AR,5,1,EF-3
51,2007,2,24,2007-02-24,13:58:00,3,AR,5,2,EF-2
52,2007,2,24,2007-02-24,14:36:00,3,AR,5,3,EF-3
53,2007,2,24,2007-02-24,15:15:00,3,LA,22,10,EF-0
53,2007,2,24,2007-02-24,15:15:00,3,LA,22,10,EF-1
53,2007,2,24,2007-02-24,15:20:00,3,AR,5,4,EF-1
54,2007,2,24,2007-02-24,16:01:00,3,AR,5,5,EF-2
55,2007,2,24,2007-02-24,16:30:00,3,AR,5,6,EF-1
56,2007,2,24,2007-02-24,16:33:00,3,AR,5,7,EF-1
57,2007,2,24,2007-02-24,16:44:00,3,AR,5,8,EF-0
58,2007,2,24,2007-02-24,17:18:00,3,MO,29,1,EF-1
59,2007,2,24,2007-02-24,18:05:00,3,MS,28,12,EF-1
60,2007,2,24,2007-02-24,18:26:00,3,MS,28,13,EF-0
61,2007,2,24,2007-02-24,19:13:00,3,LA,22,11,EF-2
62,2007,2,24,2007-02-24,21:47:00,3,MS,28,14,EF-1
63,2007,2,24,2007-02-24,22:40:00,3,MS,28,15,EF-1
64,2007,2,25,2007-02-25,14:24:00,3,CA,6,1,EF-0
65,2007,2,28,2007-02-28,12:55:00,3,FL,12,6,EF-0
66,2007,2,28,2007-02-28,18:33:00,3,KS,20,4,EF-0
67,2007,2,28,2007-02-28,18:53:00,3,KS,20,5,EF-0
68,2007,2,28,2007-02-28,19:01:00,3,KS,20,6,EF-0
69,2007,2,28,2007-02-28,19:05:00,3,KS,20,7,EF-1
70,2007,2,28,2007-02-28,19:07:00,3,KS,20,8,EF-0
71,2007,2,28,2007-02-28,19:24:00,3,KS,20,9,EF-4
72,2007,2,28,2007-02-28,20:27:00,3,MO,29,2,EF-1
73,2007,2,28,2007-02-28,22:05:00,3,MO,29,3,EF-1
74,2007,3,1,2007-03-01,01:30:00,3,MO,29,4,EF-0
75,2007,3,1,2007-03-01,01:40:00,3,MO,29,5,EF-1
76,2007,3,1,2007-03-01,01:43:00,3,MO,29,6,EF-1
77,2007,3,1,2007-03-01,04:28:00,3,AR,5,9,EF-0
78,2007,3,1,2007-03-01,06:24:00,3,MO,29,7,EF-3
79,2007,3,1,2007-03-01,09:50:00,3,LA,22,12,EF-0
80,2007,3,1,2007-03-01,10:45:00,3,IL,17,1,EF-0
81,2007,3,1,2007-03-01,11:20:00,3,FL,12,7,EF-0
82,2007,3,1,2007-03-01,11:58:00,3,MS,28,16,EF-1
83,2007,3,1,2007-03-01,12:05:00,3,AL,1,8,EF-0
84,2007,3,1,2007-03-01,12:27:00,3,AL,1,9,EF-4
85,2007,3,1,2007-03-01,12:47:00,3,IL,17,2,EF-0
86,2007,3,1,2007-03-01,13:08:00,3,AL,1,10,EF-4
87,2007,3,1,2007-03-01,13:48:00,3,AL,1,11,EF-1
87,2007,3,1,2007-03-01,13:48:00,3,AL,1,11,EF-1
88,2007,3,1,2007-03-01,14:20:00,3,KY,21,1,EF-1
87,2007,3,1,2007-03-01,14:24:00,3,GA,13,6,EF-0
89,2007,3,1,2007-03-01,14:48:00,3,AL,1,12,EF-2
90,2007,3,1,2007-03-01,14:59:00,3,AL,1,13,EF-1
91,2007,3,1,2007-03-01,15:00:00,3,AL,1,14,EF-1
92,2007,3,1,2007-03-01,15:11:00,3,GA,13,7,EF-1
93,2007,3,1,2007-03-01,15:45:00,3,AL,1,15,EF-2
94,2007,3,1,2007-03-01,16:06:00,3,AL,1,16,EF-1
95,2007,3,1,2007-03-01,16:29:00,3,GA,13,8,EF-2
96,2007,3,1,2007-03-01,16:34:00,3,GA,13,9,EF-3
97,2007,3,1,2007-03-01,16:49:00,3,GA,13,10,EF-1
98,2007,3,1,2007-03-01,16:51:00,3,GA,13,11,EF-0
99,2007,3,1,2007-03-01,17:27:00,3,AL,1,17,EF-1
99,2007,3,1,2007-03-01,17:27:00,3,AL,1,17,EF-2
100,2007,3,1,2007-03-01,17:30:00,3,GA,13,13,EF-1
99,2007,3,1,2007-03-01,17:31:00,3,GA,13,12,EF-2
101,2007,3,1,2007-03-01,17:44:00,3,GA,13,14,EF-0
102,2007,3,1,2007-03-01,17:56:00,3,AL,1,18,EF-1
103,2007,3,1,2007-03-01,18:00:00,3,GA,13,15,EF-1
104,2007,3,1,2007-03-01,19:08:00,3,GA,13,16,EF-2
105,2007,3,1,2007-03-01,20:00:00,3,GA,13,17,EF-3
106,2007,3,1,2007-03-01,21:30:00,3,GA,13,18,EF-0
107,2007,3,1,2007-03-01,21:40:00,3,GA,13,19,EF-2
108,2007,3,1,2007-03-01,21:52:00,3,GA,13,20,EF-1
109,2007,3,1,2007-03-01,22:44:00,3,GA,13,21,EF-2
110,2007,3,1,2007-03-01,23:20:00,3,GA,13,22,EF-2
111,2007,3,1,2007-03-01,23:30:00,3,GA,13,23,EF-2
112,2007,3,1,2007-03-01,23:42:00,3,GA,13,24,EF-1
113,2007,3,2,2007-03-02,01:10:00,3,FL,12,8,EF-0
114,2007,3,2,2007-03-02,01:20:00,3,SC,45,6,EF-0
115,2007,3,2,2007-03-02,01:36:00,3,FL,12,9,EF-1
