user_id,occurred_at,experiment,experiment_group,location,device,user_type
4,2014-06-05T15:20:16Z,publisher_update,control_group,India,lenovo thinkpad,3
8198,2014-06-11T09:31:32Z,publisher_update,control_group,Japan,nokia lumia 635,1
11,2014-06-17T09:31:22Z,publisher_update,control_group,United States,iphone 4s,1
8209,2014-06-04T09:31:21Z,publisher_update,test_group,Turkey,nokia lumia 635,1
19,2014-06-04T09:31:33Z,publisher_update,test_group,Nigeria,iphone 5,1
20,2014-06-18T09:31:29Z,publisher_update,control_group,Italy,samsung galaxy s4,2
22,2014-06-02T10:57:04Z,publisher_update,test_group,Germany,lenovo thinkpad,1
8216,2014-06-11T09:31:22Z,publisher_update,control_group,South Africa,iphone 5,1
30,2014-06-19T09:31:12Z,publisher_update,test_group,Australia,dell inspiron desktop,2
8232,2014-06-03T00:10:13Z,publisher_update,control_group,Nigeria,dell inspiron desktop,3
1373,2014-06-03T14:51:36Z,publisher_update,control_group,Greece,dell inspiron notebook,1
8240,2014-06-07T08:49:51Z,publisher_update,test_group,United States,nexus 7,3
49,2014-06-02T09:31:29Z,publisher_update,control_group,United States,hp pavilion desktop,2
8242,2014-06-19T09:31:26Z,publisher_update,control_group,United States,iphone 4s,3
59,2014-06-02T09:31:45Z,publisher_update,control_group,Taiwan,macbook air,1
64,2014-06-23T09:31:29Z,publisher_update,control_group,Turkey,acer aspire notebook,2
8258,2014-06-02T17:22:13Z,publisher_update,test_group,Switzerland,iphone 4s,1
8259,2014-06-05T09:31:28Z,publisher_update,test_group,United Kingdom,acer aspire notebook,2
8268,2014-06-19T09:31:23Z,publisher_update,test_group,United States,samsung galaxy s4,3
78,2014-06-17T09:31:26Z,publisher_update,test_group,United States,acer aspire notebook,2
8273,2014-06-12T09:31:26Z,publisher_update,control_group,Brazil,iphone 5,2
83,2014-06-04T09:31:19Z,publisher_update,control_group,United Kingdom,amazon fire phone,1
8277,2014-06-27T09:31:43Z,publisher_update,control_group,United Kingdom,macbook pro,2
86,2014-06-04T09:14:27Z,publisher_update,control_group,India,dell inspiron notebook,1
8279,2014-06-13T09:31:18Z,publisher_update,test_group,United States,acer aspire notebook,3
98,2014-06-19T09:31:23Z,publisher_update,control_group,Brazil,dell inspiron notebook,2
101,2014-06-06T16:25:05Z,publisher_update,control_group,Netherlands,lenovo thinkpad,1
8302,2014-06-27T09:30:58Z,publisher_update,control_group,United States,ipad mini,3
8305,2014-06-06T09:31:43Z,publisher_update,control_group,Japan,samsung galaxy s4,1
10942,2014-06-23T09:31:06Z,publisher_update,control_group,Germany,macbook pro,3
8312,2014-06-27T09:31:33Z,publisher_update,test_group,Japan,iphone 4s,3
124,2014-06-30T09:31:17Z,publisher_update,control_group,Germany,macbook air,3
8317,2014-06-27T09:31:19Z,publisher_update,test_group,France,dell inspiron notebook,1
128,2014-06-01T11:07:10Z,publisher_update,control_group,Russia,lenovo thinkpad,2
2752,2014-06-04T09:31:05Z,publisher_update,test_group,Brazil,ipad air,2
8325,2014-06-23T09:31:50Z,publisher_update,control_group,Japan,dell inspiron notebook,2
134,2014-06-02T09:31:45Z,publisher_update,control_group,Japan,iphone 5,1
136,2014-06-01T07:32:11Z,publisher_update,control_group,Spain,lenovo thinkpad,1
12311,2014-06-06T16:10:56Z,publisher_update,test_group,Malaysia,iphone 5,1
150,2014-06-03T09:31:34Z,publisher_update,control_group,United States,lenovo thinkpad,1
163,2014-06-04T09:30:49Z,publisher_update,control_group,Egypt,mac mini,1
172,2014-06-04T19:01:49Z,publisher_update,test_group,United States,iphone 5,1
175,2014-06-06T14:27:38Z,publisher_update,test_group,Italy,dell inspiron notebook,2
8373,2014-06-02T09:31:18Z,publisher_update,test_group,Brazil,lenovo thinkpad,2
182,2014-06-06T10:33:49Z,publisher_update,test_group,India,ipad mini,1
8378,2014-06-09T09:31:44Z,publisher_update,test_group,United States,macbook pro,3
8383,2014-06-09T09:31:46Z,publisher_update,test_group,Brazil,lenovo thinkpad,1
8384,2014-06-02T09:31:25Z,publisher_update,test_group,United States,dell inspiron notebook,2
201,2014-06-02T09:31:27Z,publisher_update,control_group,United Kingdom,ipad air,2
8394,2014-06-10T09:31:46Z,publisher_update,control_group,Thailand,hp pavilion desktop,3
203,2014-06-03T10:59:08Z,publisher_update,control_group,Japan,iphone 5s,1
8396,2014-06-03T18:29:28Z,publisher_update,test_group,Brazil,acer aspire desktop,3
8401,2014-06-10T09:31:23Z,publisher_update,test_group,Mexico,ipad mini,3
215,2014-06-03T09:31:18Z,publisher_update,test_group,United States,macbook pro,1
8413,2014-06-17T09:31:25Z,publisher_update,control_group,Canada,macbook air,2
226,2014-06-25T09:31:33Z,publisher_update,control_group,Canada,iphone 5,3
8423,2014-06-03T13:06:52Z,publisher_update,control_group,Japan,kindle fire,3
8427,2014-06-03T09:31:29Z,publisher_update,test_group,United States,macbook pro,1
8429,2014-06-03T09:31:27Z,publisher_update,control_group,United States,samsung galaxy s4,2
8430,2014-06-10T09:31:19Z,publisher_update,control_group,United States,nexus 7,3
239,2014-06-02T18:18:20Z,publisher_update,control_group,Japan,hp pavilion desktop,2
8438,2014-06-05T16:57:09Z,publisher_update,control_group,France,lenovo thinkpad,1
8449,2014-06-03T00:27:42Z,publisher_update,test_group,United States,samsung galaxy s4,1
260,2014-06-07T14:01:18Z,publisher_update,test_group,Indonesia,dell inspiron desktop,1
8453,2014-06-07T08:22:24Z,publisher_update,control_group,United States,nexus 5,1
8454,2014-06-04T09:31:33Z,publisher_update,test_group,Germany,hp pavilion desktop,1
264,2014-06-01T15:33:59Z,publisher_update,test_group,Japan,samsung galaxy s4,2
270,2014-06-06T14:03:00Z,publisher_update,control_group,France,macbook pro,1
8463,2014-06-25T09:31:09Z,publisher_update,control_group,France,nokia lumia 635,2
8469,2014-06-11T09:31:39Z,publisher_update,control_group,Switzerland,mac mini,3
8470,2014-06-18T09:31:24Z,publisher_update,control_group,Hong Kong,macbook air,1
8474,2014-06-04T09:31:12Z,publisher_update,control_group,United States,macbook pro,2
285,2014-06-02T13:04:16Z,publisher_update,test_group,Germany,dell inspiron desktop,1
8478,2014-06-07T11:39:38Z,publisher_update,test_group,Thailand,nexus 7,1
287,2014-06-03T14:12:38Z,publisher_update,control_group,United States,nexus 10,1
8487,2014-06-07T14:06:41Z,publisher_update,control_group,Egypt,macbook air,1
300,2014-06-24T09:31:28Z,publisher_update,control_group,Russia,lenovo thinkpad,2
8502,2014-06-05T09:31:44Z,publisher_update,test_group,Japan,macbook pro,1
319,2014-06-05T09:31:39Z,publisher_update,test_group,Spain,macbook pro,2
8514,2014-06-05T09:31:28Z,publisher_update,control_group,Finland,lenovo thinkpad,3
323,2014-06-12T09:31:21Z,publisher_update,control_group,United Kingdom,lenovo thinkpad,3
8526,2014-06-19T09:31:21Z,publisher_update,test_group,Italy,ipad air,3
345,2014-06-05T15:31:15Z,publisher_update,test_group,United States,samsung galaxy s4,3
346,2014-06-02T09:31:39Z,publisher_update,control_group,United States,iphone 5,3
347,2014-06-06T19:05:57Z,publisher_update,test_group,Germany,lenovo thinkpad,1
