user_id,created_at,company_id,language,activated_at,state
0,2013-01-01T20:59:39Z,5737,english,2013-01-01T21:01:07Z,active
1,2013-01-01T13:07:46Z,28,english,NA,pending
2,2013-01-01T10:59:05Z,51,english,NA,pending
3,2013-01-01T18:40:36Z,2800,german,2013-01-01T18:42:02Z,active
4,2013-01-01T14:37:51Z,5110,indian,2013-01-01T14:39:05Z,active
5,2013-01-01T13:39:51Z,2463,spanish,NA,pending
6,2013-01-01T18:37:27Z,11699,english,2013-01-01T18:38:45Z,active
7,2013-01-01T16:19:01Z,4765,french,2013-01-01T16:20:28Z,active
8,2013-01-01T04:38:30Z,2698,french,2013-01-01T04:40:10Z,active
9,2013-01-01T08:04:17Z,1,french,NA,pending
10,2013-01-01T09:36:41Z,10,arabic,NA,pending
11,2013-01-01T08:07:45Z,3745,english,2013-01-01T08:09:17Z,active
12,2013-01-01T18:05:05Z,903,english,NA,pending
13,2013-01-02T12:27:54Z,4025,english,2013-01-02T12:29:20Z,active
14,2013-01-02T17:17:28Z,5077,portugese,NA,pending
15,2013-01-02T15:39:52Z,4259,english,2013-01-02T15:41:16Z,active
16,2013-01-02T17:45:36Z,10408,german,NA,pending
17,2013-01-02T10:56:15Z,5025,japanese,2013-01-02T10:57:58Z,active
18,2013-01-02T08:18:20Z,3,japanese,NA,pending
19,2013-01-02T09:54:01Z,326,english,2013-01-02T09:55:34Z,active
20,2013-01-02T09:41:41Z,7,italian,2013-01-02T09:43:26Z,active
21,2013-01-02T09:29:21Z,2606,english,2013-01-02T09:30:51Z,active
22,2013-01-02T17:36:42Z,545,german,2013-01-02T17:38:09Z,active
23,2013-01-02T20:04:46Z,15,english,NA,pending
24,2013-01-03T13:08:56Z,11301,english,NA,pending
25,2013-01-03T05:38:52Z,2,japanese,NA,pending
26,2013-01-03T12:11:16Z,9833,english,NA,pending
27,2013-01-03T16:14:04Z,6,japanese,2013-01-03T16:15:31Z,active
28,2013-01-03T09:53:25Z,1167,english,NA,pending
29,2013-01-03T13:00:26Z,1208,english,NA,pending
30,2013-01-03T08:28:15Z,4148,english,2013-01-03T08:29:17Z,active
31,2013-01-03T15:45:25Z,39,arabic,2013-01-03T15:46:49Z,active
32,2013-01-03T15:55:26Z,6518,english,NA,pending
33,2013-01-03T12:16:59Z,10768,english,2013-01-03T12:18:21Z,active
34,2013-01-03T11:24:13Z,11353,japanese,NA,pending
35,2013-01-03T16:06:09Z,1891,english,2013-01-03T16:07:28Z,active
36,2013-01-03T11:51:59Z,2,english,2013-01-03T11:53:38Z,active
37,2013-01-03T07:13:51Z,7943,spanish,NA,pending
38,2013-01-04T08:51:39Z,7618,french,NA,pending
39,2013-01-04T08:53:30Z,6322,chinese,NA,pending
40,2013-01-04T12:59:41Z,361,english,NA,pending
41,2013-01-04T13:06:44Z,5049,english,NA,pending
42,2013-01-04T19:52:02Z,3,english,NA,pending
43,2013-01-04T13:40:38Z,1486,english,NA,pending
44,2013-01-04T13:52:44Z,706,japanese,NA,pending
45,2013-01-04T07:46:24Z,7432,japanese,NA,pending
46,2013-01-04T13:48:25Z,719,english,NA,pending
47,2013-01-04T10:39:31Z,1,indian,2013-01-04T10:41:06Z,active
48,2013-01-04T09:55:55Z,27,english,NA,pending
49,2013-01-05T14:33:28Z,8727,spanish,2013-01-05T14:34:57Z,active
50,2013-01-05T17:41:53Z,12526,spanish,2013-01-05T17:43:27Z,active
51,2013-01-05T21:57:13Z,11855,english,NA,pending
52,2013-01-06T13:35:41Z,6,english,2013-01-06T13:37:09Z,active
53,2013-01-06T01:29:12Z,13119,english,NA,pending
54,2013-01-06T02:52:34Z,2,english,2013-01-06T02:54:04Z,active
55,2013-01-06T14:35:58Z,2233,german,2013-01-06T14:37:32Z,active
56,2013-01-07T08:03:58Z,4224,english,NA,pending
57,2013-01-07T07:10:18Z,3184,portugese,NA,pending
58,2013-01-07T18:24:27Z,6855,german,NA,pending
59,2013-01-07T20:47:53Z,2296,chinese,2013-01-07T20:49:34Z,active
60,2013-01-07T18:11:10Z,3427,english,NA,pending
61,2013-01-07T11:54:14Z,9260,spanish,NA,pending
62,2013-01-07T18:12:07Z,4,japanese,NA,pending
63,2013-01-07T18:37:52Z,5,english,NA,pending
64,2013-01-07T09:56:01Z,9229,english,2013-01-07T09:57:14Z,active
65,2013-01-07T16:05:53Z,12736,portugese,NA,pending
66,2013-01-07T15:37:53Z,7927,french,2013-01-07T15:39:32Z,active
67,2013-01-07T13:46:18Z,10818,english,2013-01-07T13:47:32Z,active
68,2013-01-07T14:38:23Z,11005,spanish,NA,pending
69,2013-01-08T02:48:41Z,128,english,NA,pending
70,2013-01-08T18:57:25Z,502,english,NA,pending
71,2013-01-08T18:30:11Z,3640,japanese,NA,pending
72,2013-01-08T08:40:42Z,9024,english,NA,pending
73,2013-01-08T13:36:14Z,33,english,NA,pending
74,2013-01-08T21:11:48Z,1,english,NA,pending
75,2013-01-08T14:45:01Z,26,english,NA,pending
76,2013-01-08T11:05:56Z,215,english,NA,pending
77,2013-01-08T14:21:50Z,21,english,NA,pending
78,2013-01-08T12:58:44Z,1,english,2013-01-08T13:00:19Z,active
79,2013-01-08T14:28:28Z,5870,chinese,NA,pending
80,2013-01-08T06:19:06Z,925,spanish,2013-01-08T06:20:46Z,active
81,2013-01-08T10:19:09Z,10217,russian,NA,pending
82,2013-01-09T08:52:43Z,12403,english,NA,pending
83,2013-01-09T16:40:52Z,2343,english,2013-01-09T16:42:34Z,active
84,2013-01-09T17:14:36Z,9501,english,2013-01-09T17:16:13Z,active
85,2013-01-09T08:43:31Z,9531,spanish,NA,pending
86,2013-01-09T13:24:02Z,1,indian,2013-01-09T13:25:27Z,active
87,2013-01-09T09:54:30Z,95,english,2013-01-09T09:56:19Z,active
88,2013-01-09T15:43:40Z,3629,english,NA,pending
89,2013-01-09T17:17:41Z,100,french,NA,pending
90,2013-01-09T12:27:51Z,789,english,2013-01-09T12:29:32Z,active
91,2013-01-09T12:34:39Z,5895,arabic,NA,pending
92,2013-01-09T10:45:04Z,1,english,2013-01-09T10:46:19Z,active
93,2013-01-10T18:05:17Z,11406,italian,NA,pending
94,2013-01-10T18:07:35Z,1,english,NA,pending
95,2013-01-10T11:01:47Z,11485,english,NA,pending
96,2013-01-10T19:23:43Z,9728,indian,NA,pending
97,2013-01-10T12:32:09Z,7578,french,2013-01-10T12:33:29Z,active
98,2013-01-10T10:23:44Z,9136,portugese,2013-01-10T10:25:15Z,active
99,2013-01-10T11:00:44Z,7,english,2013-01-10T11:02:21Z,active
100,2013-01-10T12:51:33Z,1,english,NA,pending
101,2013-01-10T13:05:29Z,5343,french,2013-01-10T13:07:06Z,active
102,2013-01-10T11:47:37Z,9294,english,NA,pending
103,2013-01-10T13:05:26Z,44,portugese,2013-01-10T13:06:57Z,active
104,2013-01-10T17:23:58Z,4936,english,2013-01-10T17:25:04Z,active
105,2013-01-11T13:25:25Z,12000,english,2013-01-11T13:26:31Z,active
106,2013-01-11T23:23:52Z,12473,italian,2013-01-11T23:25:28Z,active
107,2013-01-11T12:28:39Z,12411,english,2013-01-11T12:30:01Z,active
108,2013-01-11T16:36:14Z,8,japanese,2013-01-11T16:37:54Z,active
109,2013-01-11T16:34:45Z,1777,spanish,NA,pending
110,2013-01-11T08:40:42Z,87,english,NA,pending
111,2013-01-11T16:17:37Z,2,arabic,2013-01-11T16:18:55Z,active
112,2013-01-11T17:03:05Z,11414,german,NA,pending
113,2013-01-11T10:52:55Z,457,german,2013-01-11T10:54:09Z,active
114,2013-01-11T17:59:24Z,2696,english,NA,pending
115,2013-01-11T22:10:14Z,2361,chinese,NA,pending
116,2013-01-12T03:07:22Z,1,english,NA,pending
117,2013-01-12T16:17:27Z,8636,japanese,2013-01-12T16:19:06Z,active
118,2013-01-12T15:29:27Z,1,english,2013-01-12T15:31:03Z,active
119,2013-01-12T15:47:00Z,5,english,2013-01-12T15:48:29Z,active
120,2013-01-13T16:00:56Z,376,japanese,2013-01-13T16:02:20Z,active
121,2013-01-13T15:04:01Z,9770,chinese,2013-01-13T15:05:28Z,active
122,2013-01-13T17:22:30Z,274,english,NA,pending
123,2013-01-14T15:12:21Z,219,spanish,2013-01-14T15:14:05Z,active
124,2013-01-14T20:22:27Z,9039,german,2013-01-14T20:24:11Z,active
125,2013-01-14T13:25:55Z,10578,english,NA,pending
126,2013-01-14T15:59:08Z,3,arabic,NA,pending
127,2013-01-14T12:00:45Z,12072,arabic,NA,pending
128,2013-01-14T18:39:11Z,2470,russian,2013-01-14T18:40:50Z,active
129,2013-01-14T10:08:54Z,6,spanish,2013-01-14T10:10:06Z,active
130,2013-01-14T10:04:04Z,2,german,2013-01-14T10:05:37Z,active
131,2013-01-14T14:00:11Z,2637,french,NA,pending
132,2013-01-14T09:09:16Z,23,portugese,2013-01-14T09:10:48Z,active
133,2013-01-14T00:17:41Z,101,french,2013-01-14T00:19:07Z,active
134,2013-01-14T09:34:34Z,1914,japanese,2013-01-14T09:36:03Z,active
135,2013-01-14T12:55:05Z,5981,arabic,NA,pending
136,2013-01-15T14:33:59Z,11080,spanish,2013-01-15T14:35:23Z,active
137,2013-01-15T08:50:24Z,2837,english,2013-01-15T08:51:36Z,active
138,2013-01-15T23:36:03Z,2541,indian,2013-01-15T23:37:34Z,active
139,2013-01-15T16:16:43Z,467,japanese,2013-01-15T16:17:58Z,active
140,2013-01-15T13:01:58Z,11088,japanese,2013-01-15T13:03:29Z,active
141,2013-01-15T11:02:19Z,49,english,NA,pending
142,2013-01-15T11:16:59Z,2861,english,2013-01-15T11:18:38Z,active
143,2013-01-15T00:14:20Z,2,indian,2013-01-15T00:16:05Z,active
144,2013-01-15T17:07:30Z,36,english,2013-01-15T17:09:10Z,active
145,2013-01-15T09:53:13Z,1118,english,2013-01-15T09:54:40Z,active
146,2013-01-15T16:46:58Z,12768,japanese,NA,pending
147,2013-01-15T18:52:10Z,9001,japanese,NA,pending
148,2013-01-15T20:09:16Z,12534,japanese,NA,pending
149,2013-01-15T14:16:26Z,2872,english,2013-01-15T14:18:01Z,active
150,2013-01-15T11:24:53Z,908,english,2013-01-15T11:26:36Z,active
151,2013-01-16T14:40:13Z,511,english,2013-01-16T14:41:46Z,active
152,2013-01-16T13:01:51Z,6474,russian,NA,pending
153,2013-01-16T17:59:38Z,1256,english,2013-01-16T18:01:08Z,active
154,2013-01-16T12:29:15Z,5385,english,2013-01-16T12:30:47Z,active
155,2013-01-16T14:40:06Z,2889,english,2013-01-16T14:41:43Z,active
156,2013-01-16T18:49:43Z,1210,english,2013-01-16T18:51:19Z,active
157,2013-01-16T12:49:56Z,4749,english,NA,pending
158,2013-01-16T10:46:22Z,5825,arabic,NA,pending
